movie_title,movie_info,genres,directors,authors,actors,release_date
Puss in Boots: The Last Wish,"This fall, everyone's favorite leche-loving, swashbuckling, fear-defying feline returns. For the first time in more than a decade, DreamWorks Animation presents a new adventure in the Shrek universe as daring outlaw Puss in Boots discovers that his passion for peril and disregard for safety have taken their toll. Puss has burned through eight of his nine lives, though he lost count along the way. Getting those lives back will send Puss in Boots on his grandest quest yet. Academy Award® nominee Antonio Banderas returns as the voice of the notorious PiB as he embarks on an epic journey into the Black Forest to find the mythical Wishing Star and restore his lost lives. But with only one life left, Puss will have to humble himself and ask for help from his former partner and nemesis: the captivating Kitty Soft Paws (Oscar® nominee Salma Hayek). In their quest, Puss and Kitty will be aided--against their better judgment--by a ratty, chatty, relentlessly cheerful mutt, Perro (Harvey Guillén, What We Do in the Shadows). Together, our trio of heroes will have to stay one step ahead of Goldilocks (Oscar® nominee Florence Pugh, Black Widow) and the Three Bears Crime Family, ""Big"" Jack Horner (Emmy winner John Mulaney, Big Mouth) and terrifying bounty hunter, The Big Bad Wolf (Wagner Moura, Narcos).","Kids & Family, Comedy, Adventure, Animation",Joel Crawford,"Paul Fisher, Tommy Swerdlow","Antonio Banderas, Puss in Boots
Voice, Salma Hayek, Kitty Softpaws
Voice, Olivia Colman, Voice, Harvey Guillen, Perro
Voice, Samson Kayo, Voice, Wagner Moura, Voice","Dec 21, 2022"
Tár,"From writer-producer-director Todd Field comes TÁR, starring Cate Blanchett as Lydia Tár, the groundbreaking conductor of a major German Orchestra. We meet Tár at the height of her career, as she's preparing both a book launch and much-anticipated live performance of Mahler's Fifth Symphony. Over the ensuing weeks her life begins to unravel in a singularly modern way. The result is a searing examination of power, and its impact and durability in today's society.","Drama, Music",Todd Field,Todd Field,"Cate Blanchett, Lydia Tár, Noémie Merlant, Francesca, Nina Hoss, Sharon Goodnow, Sophie Kauer, Olga, Mark Strong, Elliot Kaplan, Julian Glover, Andris Davis","Oct 28, 2022"
Babylon,"A tale of outsized ambition and outrageous excess, Babylon traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood.","Comedy, Drama",Damien Chazelle,Damien Chazelle,"Brad Pitt, Jack Conrad, Margot Robbie, Nellie LaRoy, Diego Calva, Manny Torres, Jean Smart, Elinor St. John, Jovan Adepo, Sidney Palmer, Li Jun Li, Lady Fay Zhu","Dec 23, 2022"
Creed,"Adonis Johnson (Michael B. Jordan) never knew his famous father, boxing champion Apollo Creed, who died before Adonis was born. However, boxing is in his blood, so he seeks out Rocky Balboa (Sylvester Stallone) and asks the retired champ to be his trainer. Rocky sees much of Apollo in Adonis, and agrees to mentor him, even as he battles an opponent deadlier than any in the ring. With Rocky's help, Adonis soon gets a title shot, but whether he has the true heart of a fighter remains to be seen.",Drama,Ryan Coogler,"Ryan Coogler, Aaron Covington","Michael B. Jordan, Adonis Johnson, Sylvester Stallone, Rocky Balboa, Tessa Thompson, Bianca, Phylicia Rashad, Mary Anne Creed, Andre Ward, Danny ""Stuntman"" Wheeler, Tony Bellew, ""Pretty"" Ricky Conlan","Nov 25, 2015"
The Fabelmans,"Young Sammy Fabelman falls in love with movies after his parents take him to see ""The Greatest Show on Earth."" Armed with a camera, Sammy starts to make his own films at home, much to the delight of his supportive mother.",Drama,Steven Spielberg,"Steven Spielberg, Tony Kushner","Michelle Williams, Mitzi Fabelman, Paul Dano, Burt Fabelman, Seth Rogen, Bennie Loewy, Gabriel LaBelle, Sammy Fabelman, Jeannie Berlin, Hadassah Fabelman, Julia Butters, Reggie Fabelman","Nov 23, 2022"
The Menu,"A couple (Anya Taylor-Joy and Nicholas Hoult) travels to a coastal island to eat at an exclusive restaurant where the chef (Ralph Fiennes) has prepared a lavish menu, with some shocking surprises.","Horror, Mystery & Thriller, Comedy",Mark Mylod,"Seth Reiss, Will Tracy","Ralph Fiennes, Chef Slowik, Anya Taylor-Joy, Margot, Nicholas Hoult, Tyler, Hong Chau, Elsa, Janet McTeer, Lillian Bloom, Judith Light, Anne","Nov 18, 2022"
Aftersun,"At a fading vacation resort, 11-year-old Sophie treasures rare time together with her loving and idealistic father, Calum (Paul Mescal). As a world of adolescence creeps into view, beyond her eye Calum struggles under the weight of life outside of fatherhood. Twenty years later, Sophie's tender recollections of their last holiday become a powerful and heartrending portrait of their relationship, as she tries to reconcile the father she knew with the man she didn't, in Charlotte Wells' superb and searingly emotional debut film.",Drama,Charlotte Wells,Charlotte Wells,"Paul Mescal, Calum, Frankie Corio, Sophie, Celia Rowlson-Hall, Adult Sophie, Kayleigh Coleman, Jane, Harry Perdios, Toby, Sally Messham, Belinda","Oct 21, 2022"
All Quiet on the Western Front,"All Quiet on the Western Front tells the gripping story of a young German soldier on the Western Front of World War I. Paul and his comrades experience first-hand how the initial euphoria of war turns into desperation and fear as they fight for their lives, and each other, in the trenches. The film from director Edward Berger is based on the world renowned bestseller of the same name by Erich Maria Remarque.","War, History, Drama, Action",Edward Berger,"Lesley Paterson, Ian Stokell","Felix Kammerer, Paul Bäumer, Albrecht Schuch, Stanislaus Katczinsky, Aaron Hilmer, Moritz Klaus, Edin Hasanovic, Thibault de Montalembert","Oct 7, 2022"
Missing,"When her mother (Nia Long) disappears while on vacation in Colombia with her new boyfriend, June's (Storm Reid) search for answers is hindered by international red tape. Stuck thousands of miles away in Los Angeles, June creatively uses all the latest technology at her fingertips to try and find her before it's too late. But as she digs deeper, her digital sleuthing raises more questions than answers... and when June unravels secrets about her mom, she discovers that she never really knew her at all.",Mystery & Thriller,"Will Merrick, Nicholas D. Johnson","Will Merrick, Nicholas D. Johnson","Storm Reid, June, Joaquim de Almeida, Javi, Ken Leung, Kevin, Amy Landecker, Heather, Daniel Henney, Agent Park, Nia Long, Grace","Jan 20, 2023"
Infinity Pool,"While staying at an isolated island resort, James (Alexander Skarsgård) and Em (Cleopatra Coleman) are enjoying a perfect vacation of pristine beaches, exceptional staff, and soaking up the sun. But guided by the seductive and mysterious Gabi (Mia Goth), they venture outside the resort grounds and find themselves in a culture filled with violence, hedonism, and untold horror. A tragic accident leaves them facing a zero tolerance policy for crime: either you'll be executed, or, if you're rich enough to afford it, you can watch yourself die instead.","Horror, Mystery & Thriller, Sci-Fi",Brandon Cronenberg,Brandon Cronenberg,"Alexander Skarsgård, James Foster, Mia Goth, Gabi Bauer, Cleopatra Coleman, Em Foster, Thomas Kretschmann, Detective Thresh, Amanda Brugel, Jennifer, John Ralston, Dr. Bob Modan","Jan 27, 2023"
Sharper,"Motivations are suspect, and expectations are turned upside down, as a con artist takes on Manhattan billionaires.",Drama,Benjamin Caron,"Brian Gatewood, Alessandro Tanaka","Julianne Moore, Madeline Phillips, Sebastian Stan, Max, Justice Jesse Smith, Tom, Briana Middleton, Sandra, John Lithgow, Richard Hobbes, Darren Goldstein, Braddock","Feb 10, 2023"
What We Do Next,"When Elsa Mercado (Michelle Veintimilla) is released from prison after serving 16 years for killing her father, New York City Councilwoman Sandy James (Karen Pittman) and corporate attorney Paul Jenkins (Corey Stoll) are forced to grapple with their involvement in the original crime. WHAT WE DO NEXT is a timely emotional thriller sitting at the intersection of race, class and criminal justice.",Drama,Stephen Belber,Stephen Belber,"Corey Stoll, Paul Fleming, Karen Pittman, Sandy James, Michelle Veintimilla, Elsa Mercado, Shannon Cogan, Female Reporter, Cynthia Rodríguez, Radio News Host, Rebecca Lowman, Conference Reporter","Mar 3, 2023"
Luther: The Fallen Sun,"In Luther: The Fallen Sun -- an epic continuation of the award-winning television saga reimagined for film -- a gruesome serial killer is terrorizing London while brilliant but disgraced detective John Luther (Idris Elba) sits behind bars. Haunted by his failure to capture the cyber psychopath who now taunts him, Luther decides to break out of prison to finish the job by any means necessary.","Crime, Drama, Mystery & Thriller",Jamie Payne,Neil Cross,"Idris Elba, John Luther, Andy Serkis, David Robey, Cynthia Erivo, Odette Raine, Dermot Crowley, Martin Schenk, Lauryn Ajufo, Anya Raine, Andy Apollo, Barman","Feb 24, 2023"
Plane,"In the white-knuckle action movie PLANE, pilot Brodie Torrance (Gerard Butler) saves his passengers from a lightning strike by making a risky landing on a war-torn island -- only to find that surviving the landing was just the beginning. When most of the passengers are taken hostage by dangerous rebels, the only person Torrance can count on for help is Louis Gaspare (Mike Colter), an accused murderer who was being transported by the FBI. In order to rescue the passengers, Torrance will need Gaspare's help, and will learn there's more to Gaspare than meets the eye.","Action, Adventure, Mystery & Thriller",Jean-François Richet,"Charles Cumming, J.P. Davis","Gerard Butler, Brodie Torrance, Mike Colter, Louis Gaspare, Yoson An, Dele, Daniella Pineda, Bonnie, Paul Ben-Victor, Hampton, Remi Adeleke, Shellback","Jan 13, 2023"
Black Panther: Wakanda Forever,"In Marvel Studios' ""Black Panther: Wakanda Forever,"" Queen Ramonda (Angela Bassett), Shuri (Letitia Wright), M'Baku (Winston Duke), Okoye (Danai Gurira) and the Dora Milaje (including Florence Kasumba) fight to protect their nation from intervening world powers in the wake of King T'Challa's death. As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia (Lupita Nyong'o) and Everett Ross (Martin Freeman) and forge a new path for the kingdom of Wakanda.","Action, Adventure, Fantasy",Ryan Coogler,"Ryan Coogler, Joe Robert Cole","Letitia Wright, Shuri, Angela Bassett, Ramonda, Lupita Nyong'o, Nakia, Tenoch Huerta, Namor, Danai Gurira, Okoye, Winston Duke, M'Baku","Nov 11, 2022"
