movie_title,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
Everything Everywhere All at Once,Brandon Collins,False,Medium Popcorn,fresh, 4/5 ,"Sep 26, 2022",I greatly enjoyed this and look forward to seeing it multiple times to continue dissecting the visuals and themes. All of the actors brought their A-game and I hope this gets numerous accolades this awards season.
Everything Everywhere All at Once,Chase Hutchinson,False,"The Inlander (Spokane, WA)",fresh, 4/4 ,"Sep 23, 2022","It is unafraid of being cheesy and silly, leaning into the full potential of its marvelous vulgarity cut with a prevailing sweetness that resonates in a triumphant final act."
Everything Everywhere All at Once,Rhea Candy,False,Film Companion,fresh,,"Sep 21, 2022","The Daniels, through their quirky, revolutionary and thoroughly entertaining film, offer a winning perspective to our troubles: It all matters exactly because we’re small and stupid."
Everything Everywhere All at Once,Rahul Desai,False,News9 Live (India),fresh, 5/5 ,"Sep 20, 2022","A peerless ode to love, life and everything in between."
Everything Everywhere All at Once,Charlotte Harrison,False,Charlotte Sometimes Goes to the Movies,fresh,,"Sep 19, 2022","One of the most profound and moving sci-fi films I’ve ever seen, as well as being mental and a lot of fun."
Everything Everywhere All at Once,Adam Olinger,False,Adam Does Movies (YouTube),fresh,,"Sep 18, 2022",Everything Everywhere All At Once is the reason I still go to the movies! We've got a good one here folks.
Everything Everywhere All at Once,Scroll Staff,False,Scroll.in,fresh,,"Sep 16, 2022","The performances are in perfect sync with the Daniels’ giddiness. Michelle Yeoh, at the front and centre of possibly the most memorable role of her career, is the anchor of a film that rarely stops once it gets going."
Everything Everywhere All at Once,Harris Dang,False,Impulse Gamer,fresh, 5/5 ,"Sep 16, 2022",Everything Everywhere All at Once is an exhilarating ride and an ample showcase of rising and unrealised talent that embodies the beauty of the human spirit through the prism of the preternatural. It is one of the best films of 2022.
Everything Everywhere All at Once,Matthew St. Clair,False,Cinematic Words of a Chaotic Gemini (Substack),fresh, A+ ,"Sep 1, 2022",Michelle Yeoh pulls off what is arguably the best performance of her storied screen career.
Everything Everywhere All at Once,Sameen Amer,False,The News International (Pakistan),fresh, 4/5 ,"Aug 29, 2022",Everything Everywhere All at Once takes a creative look at familiar topics by way of the multiverse concept.
Everything Everywhere All at Once,Tom Shone,False,Times (UK),fresh, 4/5 ,"Aug 24, 2022","Exhilarating, funny and moving, their film is also messy, overstuffed and a trifle exhausting."
Everything Everywhere All at Once,Rob Gonsalves,False,Rob's Movie Vault,fresh, A- ,"Aug 24, 2022","Some of it is legitimately moving, and gets at the specific pains of an Asian-American family in a more lateral and artistic way than it might have with a more conventional narrative."
Everything Everywhere All at Once,Sheraz Farooqi,False,CinemaDebate,fresh, 5/5 ,"Aug 22, 2022","Everything Everywhere All at Once is simply one of the best films of the year. Cinematically brilliant, full of nuanced performances and with incredible themes throughout. A24 continues to showcase why it stands as one of the best film studios."
Everything Everywhere All at Once,Keith Garlington,False,Keith & the Movies,rotten, 2/5 ,"Aug 16, 2022","Whether it’s the draining exposition of the first half or the smothering non-stop ridiculousness of the second half, the film never finds a good balance."
Everything Everywhere All at Once,Alissa Wilkinson,False,Vox,fresh,,"Aug 5, 2022","It’s absurd and wild and wonderful, and will probably make you cry."
Everything Everywhere All at Once,Angelo Muredda,False,Cinema Scope,rotten,,"Aug 2, 2022","...the undisciplined product of a pair of spitballing concept artists, who too often find themselves pitching out of hiccups in characterization and allegory and embracing the shiny allure of the new whenever nuance become too much to bear..."
Everything Everywhere All at Once,Randy Meeks,False,Espinof,fresh, 4.5/5 ,"Aug 1, 2022","It's smart, idiotic, serious, hilarious, sentimental, routinary, fantastic, complex, simple, easy, hard; it's done it. It's everything. At once. Everywhere. [Full review in Spanish]"
Everything Everywhere All at Once,Leigh Paatsch,False,Herald Sun (Australia),fresh, 3.5/5 ,"Jul 29, 2022","Hyper-innovative thrill-ride... draws elements of science fiction, martial arts, family values and that ever-expanding storytelling device known as the multiverse, and then throws the whole lot in a blender."
Everything Everywhere All at Once,Jennifer Heaton,False,Alternative Lens,fresh, 10/10 ,"Jul 26, 2022","It’s up there with Mad Max: Fury Road, Spider-Man: Into the Spider-Verse and The Matrix, in that it’s a movie that fully embraces the spectacle and artistry of cinema whilst never forgetting about what really matters: story, character, and theme."
Everything Everywhere All at Once,Peter Canavese,False,Celluloid Dreams,fresh, 2.5/4 ,"Jul 21, 2022","A bit overrated but worth seeing for the great Michelle Yeoh in a very trendy, nth-degree multi-verse, live-action cartoon concept film. (Lionsgate 4K blu-ray)."
Everything Everywhere All at Once,Jeffrey Overstreet,False,Looking Closer,fresh, B+ ,"Jul 20, 2022","Collaborating with a small team of visual effects artists working in practical media, [Daniels] have achieved a joyous spectacle as exhausting as it is constantly surprising. ... For all of its imagination, this movie's finale feels overlong and preachy."
Everything Everywhere All at Once,Oluwatayo Adewole,False,We Got This Covered,fresh, 4.5/5 ,"Jul 19, 2022",This is a film about finding love and connection when you’ve been ground down. Even the bizarre hot dog-handed world gets to have its own deep moments that will likely make you cry.
Everything Everywhere All at Once,Bob Grimm,False,Reno News and Review,fresh, 4.75/5 ,"Jul 12, 2022",The sort of movie Michelle Yeoh deserves.
Everything Everywhere All at Once,Robin Holabird,False,"KUNR (Reno, NV)",fresh,,"Jul 11, 2022","Outrageous, confusing, or confounding? Everything Everywhere All at Once stands out as one of the most original movies to come along in years."
A Man Called Otto,Edward Porter,False,Sunday Times (UK),rotten, 2/5 ,"Mar 2, 2023","With Hanks as its star, Marc Forster’s safe Hollywood remake is all the more predictable."
A Man Called Otto,John Serba,False,Decider,rotten,,"Feb 28, 2023",A Man Called Otto is mechanically engineered for maximum lachrymosal extraction.
A Man Called Otto,Amber Wilkinson,False,Eye for Film,fresh, 3/5 ,"Feb 26, 2023","Tom Hanks is trying to channel his inner Clint Eastwood for this US adaptation of Fredrik Bachman’s Swedish best-seller - the problem is, he simply isn’t grouchy enough"
A Man Called Otto,Erik Childress,False,Movie Madness Podcast,rotten, 2.5/4 ,"Feb 16, 2023",A film that gets by thanks to Hanks' unwavering watchability though there's not a beat or a revelation we haven't seen before and taking its biggest emotional cue directly from She's Having a Baby is an annoyingly misguided choice.
A Man Called Otto,Ed Potton,False,Times (UK),fresh, 3/5 ,"Feb 15, 2023","This slice of superior schmaltz has Tom Hanks as a fastidious late-middle-aged grump who hates everyone, from overcharging shop assistants to neighbours who put their recycling in the wrong bin."
A Man Called Otto,Nandini Ramnath,False,Scroll.in,rotten,,"Feb 11, 2023","Tom Hanks does his best to look mean, but his inherent affability never fails to shine through. Otto discovers to his disgust that there is no avoiding mushiness."
A Man Called Otto,Lynn Venhaus,False,PopLifeSTL.com...Presents,fresh, B+ ,"Feb 3, 2023","With a terrific supporting cast – Mariana Trevino is the MVP of this journey, and she’s a force of nature as the kind neighbor Marisol. Without her as a counterpart, this would be a difficult, one-note story."
A Man Called Otto,Cory Woodroof,False,615 Film,fresh,,"Feb 2, 2023","It’s the kind of schmaltzy, big performance studio drama that used to get a billion Oscar nominations, and darn it, I kind of miss those being in vogue."
A Man Called Otto,Julia Swift,False,My Champlain Valley,fresh, 7/10 ,"Feb 1, 2023",A sweet story of the power of community to bring someone back from the brink of suicide. A film like this depends on the performances - and here there are some weak links and some standout performances.
A Man Called Otto,Matt Neal,False,ABC Radio (Australia),fresh, 4/5 ,"Jan 31, 2023",A predictable tear-jerker made no less enjoyable or heartfelt by its predictability.
A Man Called Otto,Robin Holabird,False,Robin Holabird,fresh,,"Jan 26, 2023","Hanks plays the feel-good card, mixed with comic moments, sentimentality, and a cute cat. Cat or not, [it] emphasizes that living improves by interacting warmly with others."
A Man Called Otto,Sarah Ward,False,Concrete Playground,rotten,,"Jan 26, 2023","When a feature needs a good-natured supporting character to make its audience care about its hostile protagonist, that isn't a great sign."
A Man Called Otto,Mark Meszoros,False,"The News-Herald (Willoughby, OH)",fresh, 2.5/4 ,"Jan 26, 2023","Despite its slow start, Otto mostly hits its emotional mark"
A Man Called Otto,Victoria Luxford,False,City AM,rotten, 2/5 ,"Jan 25, 2023","Mawkish and tonally messy, A Man Called Otto squanders a pertinent story about loneliness in favour of old geezer antics. Not even the universally beloved Hanks can save a film that mishandles its sentiment so badly."
A Man Called Otto,Hanna Flint,False,House Notes,fresh,,"Jan 25, 2023","Marc Forster and screenwriter David Magee previously worked together on Finding Neverland, so they know just how to frame tragic circumstances with a lighter touch, while not skimping on the emotional gut punch"
A Man Called Otto,Michael Calleri,False,Niagara Gazette,fresh,,"Jan 23, 2023","“A Man Called Otto” lays down a familiar pattern for its storytelling and action. The movie clicks because Tom Hanks delivers a performance that is always in the moment. You sense there’s a more pleasant past Otto could recapture, if he’s willing."
A Man Called Otto,MaryAnn Johanson,False,Flick Filosopher,rotten, 2/5 ,"Jan 21, 2023","With cowardly mildness, this white-bread mush misuses its star’s likability. Tom Hanks trying to be grumpy yet endearing has the opposite impact. He’s somehow less endearing than he’s been before."
A Man Called Otto,Bill Newcott,False,The Saturday Evening Post,fresh, 3/5 ,"Jan 21, 2023","Touches on the same weighty themes as 'Ove' — isolation, suicide, and mortality among them — but from the start, director Marc Forster...pulls back the drapes to brighten what in the original version was a decidedly murky room."
A Man Called Otto,Christian Toto,False,HollywoodInToto.com,rotten, 2/4 ,"Jan 20, 2023",A surprisingly cranky Tom Hanks can't elevate this cringe-worthy drama.
A Man Called Otto,Alison Gillmor,False,Winnipeg Free Press,fresh, 3/5 ,"Jan 19, 2023","Tom Hanks is reliably, dependably Tom Hanksy in this feelgood comedy-drama, the newest addition to the “grumpy old guy in need of redemption” genre. Unfortunately, his steady work is almost undone by clunky direction and shoddy, shortcut scripting."
A Man Called Otto,Rex Reed,False,Observer,fresh, 3/4 ,"Jan 19, 2023","A follow-the-dots flick with a few moments of charm that aims to be a feel-good crowd pleaser, but lacks enough freshness and insight to make it anything special."
A Man Called Otto,Dwight Brown,False,DwightBrownInk.com,fresh, 2.5/4 ,"Jan 19, 2023","Despite the film’s flaws, what audiences will take away is a humanizing experience by a group of misfits who are learning that getting along can also be lifesaving."
A Man Called Otto,Tim Cogshell,False,FilmWeek (KPCC - NPR Los Angeles),fresh,,"Jan 18, 2023","If you were to start [this remake and the original] at the exact same moment, I promise it wouldn't make any difference which one you looked at. But you know why? Because all the scenes were working in the first movie, too."
A Man Called Otto,Andy Klein,False,FilmWeek (KPCC - NPR Los Angeles),fresh,,"Jan 18, 2023","Hanks is perfect for this. He's playing the grumpiest of grumpy old men, and because it's Tom Hanks, it has extra power."
A Man Called Otto,tt stern-enzi,False,"WXIX-TV (Cincinnati, OH)",fresh, B ,"Jan 18, 2023",I'm just not sure we needed it... [but] I did like it a whole lot more than I thought I was going to.
A Man Called Otto,Andrea Thompson,False,CGMagazine,rotten, 5/10 ,"Jan 18, 2023","Just because the movie isn’t as bad as it could be doesn’t make it good, but it also won’t make it any less appealing at the numerous family viewings that A man Called Otto will no doubt become a staple of."
A Man Called Otto,Chad Byrnes,False,LA Weekly/Village Voice,fresh,,"Jan 17, 2023","Even the most skeptical of moviegoers will be moved by A Man Called Otto’s undeniable warmth and timely message about looking past one’s surface to see the person inside. You just might reach for the Kleenex, then get angry at yourself for doing so."
A Man Called Otto,Matthew Jackson,False,The Huntsville Item (TX),fresh,,"Jan 17, 2023","It’s a perfectly fine film, made better by a great cast and Hanks’ presence as a natural movie leader, and sometimes that’s enough."
A Man Called Otto,Maria Lattila,False,whynow,fresh, 3/5 ,"Jan 17, 2023","You know exactly where it’s going and the journey there isn’t spectacularly original, but at least the payoff is sweet and tender."
A Man Called Otto,Neal Pollack,False,Book & Film Globe,fresh, 3/5 ,"Jan 16, 2023",It contains enough truth to make the movie a hit among grownups looking back on their own lives with a mixture of happy nostalgia and wistful regret.
A Man Called Otto,David Nusair,False,Reel Film Reviews,fresh, 3.5/4 ,"Jan 15, 2023",...a deliberately-paced yet progressively compelling drama...
A Man Called Otto,Linda Cook,False,OurQuadCities / WHBF-TV (Illinois),rotten, 2 stars ,"Jan 15, 2023",It's pleasant enough.
A Man Called Otto,Fico Cangiano,False,CineXpress,fresh, 3/5 ,"Jan 15, 2023",Wonderful performances by Tom Hanks and Mariana Treviño keep the film from succumbing into saccharine territory. [Full review in Spanish]
A Man Called Otto,Stephen Silver,False,Splice Today,rotten, 2.5/5 ,"Jan 14, 2023","It ends on a heartwarming note, one that the film for the most part earns, even though Hanks isn't right for this part."
A Man Called Otto,Joe Friar,False,Fort Worth Report,fresh, 3/4 ,"Jan 14, 2023","Two actors can have great chemistry that has nothing to do with romance, as in Tom Hanks and Mariana Treviño. They are great together and make this English-language remake worth watching."
A Man Called Otto,Dmitry Samarov,False,Chicago Reader,rotten,,"Jan 14, 2023","I haven’t read the 2012 Swedish book or 2015 film that this is based on, but I can’t imagine either could be half as tone-deaf."
A Man Called Otto,Dana Han-Klein,False,We're Watching What?! Podcast,rotten, 2.7/5 ,"Jan 14, 2023",Hanks offscreen persona gets too much in the way of the film. It relies on the emotional baggage associated with the plot vs earning the opportunity to tug at our heartstrings. Treviño brings the only improvement to this adaptation of an adaptation.
A Man Called Otto,Jason Fraley,False,"WTOP (Washington, D.C.)",fresh, 3.5/5 ,"Jan 14, 2023","It’s inherently tricky making a feel-good movie with so many traumatic moments, but “A Man Called Otto” is a decent enough American remake of the Swedish original."
A Man Called Otto,Kevin Carr,False,Fat Guys at the Movies,fresh, 3.5/4 ,"Jan 14, 2023","Hanks works well outside his comfort zone as a grump, and this story will win your heart over some obvious corniness."
A Man Called Otto,Dustin Rowles,False,Pajiba,fresh,,"Jan 13, 2023",I didn’t care about the plot. I wanted to spend as much time as I could with these characters. I wanted to hang out.
A Man Called Otto,Dan Lybarger,False,Arkansas Democrat-Gazette,fresh, 83/100 ,"Jan 13, 2023","While it is a pleasure to see Hanks and Trevino bring their voices to the material, A Man Called Otto plays like a good cover band replicating a hit."
A Man Called Otto,Diego Batlle,False,Otroscines.com,rotten, 2/5 ,"Jan 13, 2023","... the issues with the film don't stem from cynicism or an insensitive standpoint, but from the manipulative and overt resources with which the artists built this well-intentioned fable. [Full review in Spanish]"
A Man Called Otto,Jim Judy,False,Screen It!,fresh, 7/10 ,"Jan 13, 2023",Definitely gives off enough warm and fuzzy vibes to pull on the heartstrings and make us care about the characters.
A Man Called Otto,Gary M. Kramer,False,Salon.com,fresh,,"Jan 13, 2023",Foster and Hanks make this increasingly sentimental film go down easy.
A Man Called Otto,Peter Travers,False,ABC News,rotten,,"Jan 13, 2023","As always, Tom Hanks is in there pitching. But the cliched plot about a reformed grumpy old man is so obvious you can see it from outer space."
A Man Called Otto,Allison Rose,False,FlickDirect,fresh, 3.5/5 ,"Jan 13, 2023","Let’s face it, anything Tom Hanks is in becomes elevated to the next level by his mere presence."
A Man Called Otto,Sonny Bunch,False,The Bulwark,fresh, 3/4 ,"Jan 13, 2023","Tom Hanks is our most reliable everyman star, the sort of guy who can do both gruff, put-upon loner and gruff, helpful neighbor with equal skill. It’s funny when he attacks a hospital clown because he’s actualizing so many of our secret urges."
A Man Called Otto,Collin Garbarino,False,WORLD,rotten, 2/5 ,"Jan 13, 2023","Columbia Pictures has marketed A Man Called Otto as a heartwarming comedy, but don’t be fooled. The movie has some heartwarming and comedic scenes, but it’s a very sad—and flawed—film."
A Man Called Otto,Danielle Kessler,False,Spectrum Culture,fresh,,"Jan 13, 2023","Forster’s latest has an incredibly wholesome interior despite depicting explicitly morbid and sensitive themes, but the film still feels like it captures the essence of an ill-tempered, lovable old man."
A Man Called Otto,Paula Vázquez Prieto,False,La Nación (Argentina),fresh, 3/5 ,"Jan 12, 2023","The best hand this film plays is the chemistry between Hanks and Treviño, a bond filled with warmth and humanity that elevates the predictable screenplay... [Full review in Spanish]"
A Man Called Otto,Odie Henderson,False,Boston Globe,rotten, 2/4 ,"Jan 12, 2023",It’s too busy aiming for the heart when it should be going for the jugular.
A Man Called Otto,Jorge Montiel,False,Clarín,fresh, 4/4 ,"Jan 12, 2023","At times, the story about a man who through his peers discovers how to fill the void that a loss produces, has the scent of the films that the mythical Frank Capra shot in the forties. [Full review in Spanish]"
A Man Called Otto,Sebastian Zavala Kahn,False,Me gusta el cine,fresh, 3.5/5 ,"Jan 12, 2023","Much better than its Spanish title suggests (what did it cost them to call it “A Man Called Otto” instead of ""A grumpy neighbour""?), but predictable and slightly inferior to the films that Hanks usually releases in theatres. Full review in Spanish."
A Man Called Otto,Linda Marric,False,The Jewish Chronicle,fresh, 3/5 ,"Jan 12, 2023","There is a welcome air of optimistic universality about this adaptation that remains the driving force behind both films. A Man Called Otto may not be perfect, but its message is sure to resonate with a great number of people."
A Man Called Otto,Tania Lamb,False,Lola Lambchops,fresh,,"Jan 12, 2023",A Man Called Otto is a moving story of living through and after grief and the people that are there to help you.
A Man Called Otto,Charles Koplinski,False,Reel Talk with Chuck and Pam,fresh, 3/4 ,"Jan 12, 2023","No, “Otto” contains no surprises and I’m fine with that. Films like “Otto” are necessary, and I would argue vital, to combat the constant barrage of overwhelming negativity that buffets us."
A Man Called Otto,Richard Crouse,False,Richard Crouse,fresh, 3/5 ,"Jan 12, 2023","A Man Called Otto is a tearjerking story of redemption that tries a bit too hard to strum the heartstrings, but, thanks to the performances, still manages to find resonate, emotional moments."
A Man Called Otto,Michael Frank,False,The Film Stage,rotten, C ,"Jan 12, 2023","For a film focused on the size of one man’s heart, A Man Called Otto lacks what its protagonist has in spades. It feels produced from a factory with its half-complete characters and surging score designed to tell people precisely when to feel something."
A Man Called Otto,Alan Ng,False,Film Threat,fresh, 7/10 ,"Jan 12, 2023",A heartwarming tale about finding life after loss and finding the good in others.
A Man Called Otto,Ayelet Dekel,False,Midnight East,fresh,,"Jan 12, 2023","a heartwarming, if somewhat simplistic, look at aging, loneliness, and grief, as well as the healing power of community and relationships."
The Whale,Pablo De Vita,False,La Nación (Argentina),rotten, 2/5 ,"Mar 8, 2023",... A film that never disguises its theatrical origin to the point of artificiality. [Full review in Spanish]
The Whale,Pablo O. Scholz,False,Clarín,fresh, 3/4 ,"Mar 6, 2023","It isn't a bad film, but it's not that good either, and it's worth discerning and separating, to appreciate what's fat and what's bloated. [Full review in Spanish]"
The Whale,Pablo Villaça,False,Cinema em Cena,rotten, 1/5 ,"Mar 4, 2023","The Whale is indefensible, turning out to be a silly melodrama that views its protagonist with a loathing it tries to present as empathy. [Full review in Portuguese]"
The Whale,Ezequiel Boetti,False,Otroscines.com,fresh, 3.5/5 ,"Mar 3, 2023",It's true that the metaphor of Moby Dick's redeeming character falls into the obvious... but The Whale is much more than that: it's the last station of a life that once was full but now only awaits its end. [Full review in Spanish]
The Whale,Denise Pieniazek,False,EscribiendoCine,fresh, 7/10 ,"Mar 3, 2023",The narrative oscillates constantly between exposing the clinical consequences of obesity and portraying the psychology of the protagonist. [Full review in Spanish]
The Whale,Rob Gonsalves,False,Rob's Movie Vault,fresh, B- ,"Mar 1, 2023","Ultimately we come away from ""The Whale"" warmed by the openness of heart and spirit Fraser brings to it."
The Whale,John Serba,False,Decider,fresh,,"Feb 28, 2023","Aronofsky’s career-long obsession with the grotesque is alive and well here, and he skirts the edge of exploitation. But The Whale is very much a splayed-open tragedy, and a weirdly romantic one at that..."
The Whale,Sarah Ward,False,Concrete Playground,fresh,,"Feb 24, 2023","It should come as little surprise that Aronofsky's eighth film is at its finest when it lets Fraser, Chau and Sink verbally bounce off of each other."
The Whale,Annie Banks,False,Chuck Load of Comics,fresh, 7/10 ,"Feb 23, 2023",The Whale is set leveling the rawness of human sadness with practice sympathy and forgiveness.
The Whale,Rosalynn Try-Hane,False,Liquid Marmalade,fresh,,"Feb 23, 2023",Incredibly moving.
The Whale,Ruben Peralta Rigaud,False,Cocalecas,rotten,,"Feb 22, 2023","By far, his [Aronofsky] worst film. [Full review in Spanish]"
The Whale,Jenny Nulf,False,Austin Chronicle,rotten, 2/5 ,"Feb 21, 2023","There’s nothing consciously sinister about THE WHALE’s use of Charlie’s eating disorder (the original play was, in fact, written from experience), but Aronofsky’s adaptation is cruel, not just to Charlie’s character, but to all of them."
The Whale,D. Patrick Rodgers,False,Nashville Scene,fresh,,"Feb 21, 2023","The Whale is a film characterized by wall-to-wall woe and the lonesomeness and obsession felt by one doomed man. It is devastating, dark and raw, relentless in its commitment to make the audience feel something."
The Whale,John McDonald,False,Australian Financial Review,fresh,,"Feb 18, 2023","He doesn’t have issues with his body image – he has given up on his body altogether. He’s not unhappy because he’s fat, but fat because he’s unhappy."
